"Country.of.residence","Age","Gender","Kids","Edu","Work.Status","Annual.Income","Current.Occupation","How.long.have.you.held.this.position...Years","How.long.have.you.held.this.position...Months","Community.size","Marital.Status","Number.of.sons","Number.of.daughters","X.DP.1..I.waste.a.lot.of.time.on.trivial.matters.before.getting.to.the.final.decisions","X.DP.2..Even.after.I.make.a.decision.I.delay.acting.upon.it","X.DP.3..I.donâ..t.make.decisions.unless.I.really.have.to","X.DP.4..I.delay.making.decisions.until.itâ..s.too.late","X.DP.5..I.put.off.making.decisions.until.itâ..s.too.late","X.AIP.1..I.pay.my.bills.on.time","X.AIP.2.I.am.prompt.and.on.time.for.most.appointments.","X.AIP.3.I.lay.out.my.clothes.the.night.before.I.have.an.important.appointment..so.I.wonâ..t.be.late","X.AIP.4..I.find.myself.running.later.than.I.would.like.to.be","X.AIP.5..I.donâ..t.get.things.done.on.time","X.AIP.6..If.someone.were.teaching.a.course.on.how.to.get.things.done.on.time..I.would.attend","X.AIP.7..My.friends.and.family.think.I.wait.until.the.last.minute.","X.AIP.8..I.get.important.things.done.with.time.to.spare","X.AIP.9..I.am.not.very.good.at.meeting.deadlines","X.AIP.10..I.find.myself.running.out.of.time.","X.AIP.11..I.schedule.doctorâ..s.appointments.when.I.am.supposed.to.without.delay","X.AIP.12..I.am.more.punctual.than.most.people.I.know","X.AIP.13..I.do.routine.maintenance..e.g...changing.the.car.oil..on.things.I.own.as.often.as.I.should","X.AIP.14.When.I.have.to.be.somewhere.at.a.certain.time.my.friends.expect.me.to.run.a.bit.late","X.AIP.15.Putting.things.off.till.the.last.minute.has.cost.me.money.in.the.past","X.GP.1.I.often.find.myself.performing.tasks.that.I.had.intended.to.do.days.before","X.GP2..I.often.miss.concerts..sporting.events..or.the.like.because.I.donâ..t.get.around.to.buying.tickets.on.time","X.GP.3..When.planning.a.party..I.make.the.necessary.arrangements.well.in.advance","X.GP.4..When.it.is.time.to.get.up.in.the.morning..I.most.often.get.right.out.of.bed","X.GP.5..A.letter.may.sit.for.days.after.I.write.it.before.mailing.it.possible","X.GP.6..I.generally.return.phone.calls.promptly","X.GP.7..Even.jobs.that.require.little.else.except.sitting.down.and.doing.them..I.find.that.they.seldom.get.done.for.days","X.GP.8..I.usually.make.decisions.as.soon.as.possible","X.GP.9..I.generally.delay.before.starting.on.work.I.have.to.do","X.GP.10..When.traveling..I.usually.have.to.rush.in.preparing.to.arrive.at.the.airport.or.station.at.the.appropriate.time","X.GP.11..When.preparing.to.go.out..I.am.seldom.caught.having.to.do.something.at.the.last.minute","X.GP.12..In.preparation.for.some.deadlines..I.often.waste.time.by.doing.other.things","X.GP.13..If.a.bill.for.a.small.amount.comes..I.pay.it.right.away","X.GP.14..I.usually.return.a.â.œRSVPâ...request.very.shortly.after.receiving.it","X.GP.15..I.often.have.a.task.finished.sooner.than.necessary","X.GP.16..I.always.seem.to.end.up.shopping.for.birthday.gifts.at.the.last.minute","X.GP.17..I.usually.buy.even.an.essential.item.at.the.last.minute","X.GP.18..I.usually.accomplish.all.the.things.I.plan.to.do.in.a.day","X.GP.19..I.am.continually.saying.â.œIâ..ll.do.it.tomorrowâ..","X.GP.20..I.usually.take.care.of.all.the.tasks.I.have.to.do.before.I.settle.down.and.relax.for.the.evening","X.SWLS.1..In.most.ways.my.life.is.close.to.my.ideal","X.SWLS.2.The.conditions.of.my.life.are.excellent","X.SWLS.3..I.am.satisfied.with.my.life.","X.SWLS.4..So.far.I.have.gotten.the.important.things.I.want.in.life","X.SWLS.5..If.I.could.live.my.life.over..I.would.change.almost.nothing","Do.you.consider.yourself.a.procrastinator.","Do.others.consider.you.a.procrastinator.","DPMean","AIPMean","GPMean","SWLSMean","HDI.categories","HDI"
"Australia",23,"Female","No","ltuni","student",10000,NA,NA,0,"Village","Single",0,0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.06666666666667,4.5,1,"Very high huaman development",0.939
"Australia",45,"Female","Yes","deg","full-time",55000,NA,6,0,"Medium-Sized","Divorced",1,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.86666666666667,2.7,2,"Very high huaman development",0.939
"Australia",32.5,"Male","No","ma","full-time",35000,NA,1,0,"Village","Single",0,0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",5,3.6,4,1,"Very high huaman development",0.939
"Australia",19,"Female","No","high","student",10000,NA,0,5,"Large Town","Single",0,0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2.2,1.86666666666667,2.05,3.8,"Very high huaman development",0.939
"Australia",28,"Female","No","deg","full-time",67500,NA,3,0,"Village","Married",0,0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",3.6,4.06666666666667,4.1,3,"Very high huaman development",0.939
"Australia",45,"Female","No","lthigh","retired",NA,NA,0,6,"Village","Married",0,0,3,3,4,3,2,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,3,3,2,3,3,3,3,4,3,2,5,3,3,3,3,4,3,4,3,4,4,4,2,4,3,"yes","no",3,1.66666666666667,3.2,3.4,"Very high huaman development",0.939
"Australia",45,"Female","Yes","deg","part-time",87500,NA,0,6,"Medium-Sized","Single",0,2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,1,4,4,3,3,2,4,3,2,4,2,3,3,4,4,3,3,2,3,3,1,"yes","no",2.8,2.33333333333333,3,2.4,"Very high huaman development",0.939
"Australia",32.5,"Female","No","ma","full-time",67500,NA,10,9,"Small Town","Married",0,0,4,4,4,2,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,2,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,"yes","no",3.2,1.8,3.1,4,"Very high huaman development",0.939
"Australia",45,"Male","Yes","phd","part-time",250000,NA,9,0,"Village","Married",5,3,1,1,2,2,1,5,5,5,5,5,1,5,5,5,4,5,5,5,5,1,1,5,5,5,1,5,1,5,1,2,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,"no","no",1.4,4.4,3.8,5,"Very high huaman development",0.939
"Australia",28,"Female","No","ltuni","full-time",55000,NA,2,2,"Village","Single",0,0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,"yes","yes",4.4,4.26666666666667,4.05,1.6,"Very high huaman development",0.939
"Australia",28,"Female","No","ma","full-time",55000,NA,1,0,"Village","Single",0,0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,"yes","yes",2.8,3.4,3,2.8,"Very high huaman development",0.939
"Australia",55,"Female","No","deg","full-time",15000,NA,6,0,"Village","Single",0,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",1.8,2.06666666666667,2.2,5,"Very high huaman development",0.939
"Australia",55,"Female","Yes","dip","full-time",87500,NA,14,0,"Village","Single",3,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",2.4,2.26666666666667,3.1,3.4,"Very high huaman development",0.939
"Australia",19,"Male","No","ltuni","student",15000,NA,2,4,"Village","Single",0,0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.4,3.2,3.7,3.4,"Very high huaman development",0.939
"Australia",45,"Female","Yes","deg","full-time",87500,NA,4,0,"Village","Married",3,1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,"no","yes",1,1.73333333333333,1.95,1,"Very high huaman development",0.939
"Australia",22,"Male","No","ltuni","student",10000,NA,2,0,"Village","Single",0,0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.4,4.13333333333333,3.9,2.8,"Very high huaman development",0.939
"Australia",28,"Male","No","ltuni","part-time",15000,NA,0,6,"Village","Single",0,0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",5,4.53333333333333,4.35,1.4,"Very high huaman development",0.939
"Australia",28,"Male","No","deg","full-time",35000,NA,2,0,"Village","Single",0,0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",5,3.66666666666667,4.25,2.4,"Very high huaman development",0.939
"Australia",28,"Male","No","deg","full-time",45000,NA,2,0,"Village","Separated",0,0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3.46666666666667,4.45,1,"Very high huaman development",0.939
"Australia",28,"Male","No","deg","student",10000,NA,0,0,"Village","Single",0,0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,"yes","yes",3.2,3.33333333333333,3.4,2.2,"Very high huaman development",0.939
"Australia",55,"Male","Yes","phd","full-time",55000,NA,0,0,"Village","Married",1,2,3,2,3,2,1,1,1,3,4,3,1,1,3,4,3,4,2,3,1,2,2,1,2,4,3,2,3,2,3,1,5,1,1,2,3,3,1,3,2,2,2,2,3,4,4,"no","no",2.2,2.4,2.3,3,"Very high huaman development",0.939
"Australia",37.5,"Male","Yes","dip","full-time",45000,NA,8,0,"Rural/Country","Married",2,0,4,2,2,1,2,2,1,5,4,2,4,2,4,3,4,2,2,3,2,5,5,2,3,1,2,3,4,2,4,3,2,5,3,3,4,4,2,3,2,3,3,2,2,3,2,"no","no",2.2,3,3,2.4,"Very high huaman development",0.939
"Australia",23,"Female","No","deg","student",15000,NA,5,6,"Village","Single",0,0,4,5,4,2,2,5,3,5,4,5,5,5,4,5,5,2,5,5,3,5,4,4,3,5,5,2,4,3,5,5,4,5,5,5,5,5,4,5,5,4,4,4,3,2,2,"yes","yes",3.4,4.4,4.35,3,"Very high huaman development",0.939
"Australia",67.5,"Male","Yes","ltuni","full-time",NA,NA,NA,0,"Village","Divorced",4,1,3,2,2,2,2,3,1,1,1,3,2,2,2,4,3,3,1,4,1,2,2,2,2,1,2,2,2,1,3,1,4,2,3,3,3,4,3,2,3,3,4,5,3,3,3,"yes","no",2.2,2.2,2.4,3.6,"Very high huaman development",0.939
"Australia",25,"Male","No","ma","unemployed",10000,NA,0,0,"Small Town","Married",0,0,3,4,3,3,3,4,2,2,3,4,5,3,4,5,4,4,3,5,2,3,5,3,3,4,4,4,4,3,5,5,3,4,3,3,4,4,5,5,4,5,2,3,3,2,1,"yes","yes",3.2,3.53333333333333,4,2.2,"Very high huaman development",0.939
"Australia",23,"Female","No","ltuni","full-time",35000,NA,0,6,"Village","Single",0,0,4,4,3,4,4,2,2,3,3,5,5,5,4,4,4,3,3,3,3,4,5,3,3,5,4,3,5,4,5,2,4,5,2,3,4,4,4,5,5,5,2,2,2,1,3,"yes","yes",3.8,3.53333333333333,4,2,"Very high huaman development",0.939
"Australia",32.5,"Male","No","lthigh","full-time",67500,NA,9,0,"Village","Married",0,0,4,5,2,5,5,1,1,1,2,5,4,5,5,5,5,1,2,5,1,5,5,1,1,5,1,1,5,5,5,3,4,5,5,1,5,3,5,5,5,5,1,2,2,1,1,"yes","yes",4.2,3.2,3.75,1.4,"Very high huaman development",0.939
"Australia",25,"Male","No","deg","student",25000,NA,0,6,"Village","Single",0,0,4,3,2,4,4,3,3,3,5,5,4,4,3,4,5,3,4,4,4,3,2,2,2,3,2,2,4,3,4,4,4,4,3,3,3,4,3,4,4,4,2,2,1,1,2,"yes","yes",3.4,3.8,3.2,1.6,"Very high huaman development",0.939
"Australia",32.5,"Male","No","deg","full-time",87500,NA,2,0,"Village","Single",0,0,4,4,4,3,3,3,2,5,3,5,4,5,4,5,5,5,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,5,3,3,3,4,3,"yes","yes",3.6,4,4,3.2,"Very high huaman development",0.939
"Australia",32.5,"Female","No","ma","full-time",67500,NA,3,0,"Rural/Country","Single",0,0,3,4,3,3,3,5,2,3,3,5,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,5,4,2,5,4,4,4,5,3,3,5,4,3,3,4,4,4,"yes","no",3.2,3.93333333333333,3.95,3.6,"Very high huaman development",0.939
"Australia",28,"Male","Yes","ma","full-time",55000,NA,7,0,"Village","Married",0,1,2,3,2,1,1,1,1,3,2,2,2,1,1,1,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,1,3,1,3,1,3,3,2,4,5,5,4,3,"no","no",1.8,1.93333333333333,2.2,4.2,"Very high huaman development",0.939
"Australia",45,"Male","No","ma","full-time",150000,NA,4,1,"Village","Widowed",0,0,4,4,4,3,3,3,4,5,4,3,3,4,4,3,4,3,4,4,4,4,4,3,4,5,2,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,2,"yes","yes",3.6,3.73333333333333,3.7,3.2,"Very high huaman development",0.939
"Australia",37.5,"Male","No","deg","unemployed",10000,NA,5,0,"Village","Married",0,0,4,4,5,5,5,1,1,2,2,3,3,5,3,2,4,4,1,4,1,3,4,2,5,4,4,4,4,4,4,2,3,3,2,5,4,5,2,1,5,4,4,4,4,4,2,"yes","yes",4.6,2.6,3.55,3.6,"Very high huaman development",0.939
"Australia",45,"Male","Yes","high","full-time",150000,NA,1,0,"Rural/Country","Married",1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,4,1,1,1,1,1,1,1,1,5,2,2,2,2,3,2,2,3,3,"yes","no",1.2,1,1.75,2.6,"Very high huaman development",0.939
"Australia",45,"Male","Yes","high","full-time",45000,NA,0,0,"Village","Divorced",4,1,2,3,2,2,2,1,3,5,4,4,4,3,4,1,4,3,4,3,4,4,4,2,3,1,4,3,4,2,3,3,3,4,2,4,4,5,3,4,3,3,2,4,3,1,2,"yes","yes",2.2,3.4,3.2,2.4,"Very high huaman development",0.939
"Australia",45,"Male","Yes","ltuni","full-time",87500,NA,0,0,"Village","Divorced",1,1,3,3,4,5,4,4,2,4,3,5,3,4,4,4,5,4,4,4,4,5,4,4,2,2,3,2,4,4,4,4,4,4,3,4,4,5,3,3,3,3,2,2,2,2,2,"yes","yes",3.8,3.93333333333333,3.45,2,"Very high huaman development",0.939
"Australia",28,"Female","No","ltuni","full-time",55000,NA,3,4,"Medium-Sized","Married",0,0,3,4,4,3,3,1,1,2,1,1,1,1,4,1,1,2,2,3,1,2,2,3,3,4,2,2,1,4,3,2,4,2,1,2,2,4,3,2,3,1,1,1,1,2,1,"yes","no",3.4,1.6,2.5,1.2,"Very high huaman development",0.939
"Australia",45,"Female","Yes","lthigh","full-time",55000,NA,0,0,"Medium-Sized","Married",1,1,5,4,3,2,3,4,1,4,4,4,3,3,2,2,5,4,2,4,4,5,5,1,2,1,5,3,5,3,4,5,3,5,4,3,5,5,4,5,5,4,4,3,4,3,2,"yes","yes",3.4,3.4,3.85,3.2,"Very high huaman development",0.939
"Australia",32.5,"Female","No","ltuni","full-time",67500,NA,6,1,"Village","Married",0,0,5,4,2,2,2,2,2,5,3,3,5,5,4,3,5,4,4,3,1,5,5,5,1,2,1,2,5,2,5,2,1,5,3,1,4,5,3,5,5,5,3,4,4,4,1,"yes","yes",3,3.6,3.35,3.2,"Very high huaman development",0.939
"Australia",37.5,"Male","Yes","ltuni","part-time",45000,NA,3,10,"Village","Married",1,3,4,4,3,3,2,2,3,4,4,4,5,3,5,3,4,3,2,3,3,4,5,3,4,2,4,3,5,4,5,3,2,4,3,4,5,5,2,4,4,5,1,2,1,2,1,"yes","yes",3.2,3.46666666666667,3.8,1.4,"Very high huaman development",0.939
"Australia",37.5,"Female","Yes","deg","full-time",45000,NA,0,0,"Large Town","Married",1,0,3,5,4,5,5,2,2,1,5,5,5,2,3,2,5,4,1,4,1,3,5,2,2,4,5,2,1,3,1,2,2,2,3,5,2,4,4,4,4,4,3,4,2,3,3,"yes","no",4.4,3,3.05,3,"Very high huaman development",0.939
"Australia",20,"Male","No","deg","part-time",15000,NA,4,7,"Rural/Country","Single",0,0,4,4,4,4,4,3,4,4,5,5,2,5,3,4,5,5,4,4,5,5,4,5,4,5,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,4,3,5,4,4,3,"yes","yes",4,4.2,4.05,3.8,"Very high huaman development",0.939
"Australia",32.5,"Female","No","","full-time",67500,NA,6,0,"Village","Married",0,0,2,3,1,1,1,1,1,2,2,1,1,1,2,1,1,1,4,1,4,1,1,1,1,2,1,1,1,1,2,1,3,3,1,1,1,3,3,1,1,1,5,5,5,5,4,"no","no",1.6,1.6,1.5,4.8,"Very high huaman development",0.939
"Australia",24,"Female","No","ltuni","student",15000,NA,5,0,"Village","Single",0,0,4,4,3,3,3,4,4,5,4,4,2,5,5,4,4,3,4,4,3,5,3,2,5,5,5,4,4,3,5,4,4,5,3,4,4,4,4,5,5,5,1,2,1,1,1,"yes","yes",3.4,4,4.15,1.2,"Very high huaman development",0.939
"Australia",55,"Female","Yes","deg","full-time",87500,NA,5,0,"Village","Married",1,1,5,5,3,2,2,1,5,5,5,5,5,5,3,5,5,2,3,3,4,3,3,2,3,3,4,2,3,3,4,4,3,4,3,4,4,5,5,3,3,3,4,3,3,5,4,"yes","yes",3.4,3.93333333333333,3.4,3.8,"Very high huaman development",0.939
"Australia",28,"Female","No","deg","full-time",87500,NA,2,0,"Village","Married",0,0,2,2,2,2,2,1,1,4,2,2,3,2,3,2,3,4,2,3,1,2,3,1,3,2,5,2,2,2,3,2,3,3,5,4,3,3,3,3,4,4,5,5,5,5,4,"yes","yes",2,2.33333333333333,3,4.8,"Very high huaman development",0.939
"Australia",32.5,"Female","No","ltuni","full-time",45000,NA,1,9,"Village","Married",0,0,4,4,4,2,2,3,2,3,3,2,4,2,5,1,2,3,2,3,2,2,3,2,1,3,3,5,4,2,3,1,2,4,3,3,2,3,2,2,3,3,3,3,4,4,3,"yes","no",3.2,2.6,2.7,3.4,"Very high huaman development",0.939
"Australia",23,"Male","No","dip","full-time",67500,NA,5,5,"Medium-Sized","Single",0,0,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,2,2,2,2,1,"yes","yes",3.6,3.06666666666667,3.65,1.8,"Very high huaman development",0.939
"Australia",45,"Female","No","deg","full-time",55000,NA,14,0,"Village","Married",0,0,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,4,2,3,1,1,1,1,1,2,2,2,1,3,2,1,2,1,1,1,2,2,2,2,1,2,3,3,4,3,3,"no","no",1.6,1.53333333333333,1.6,3.2,"Very high huaman development",0.939
"Australia",37.5,"Female","Yes","deg","part-time",67500,NA,0,3,"Village","Married",1,0,2,3,2,2,2,1,1,4,3,2,2,2,2,2,3,3,2,3,1,2,3,2,2,3,3,2,1,2,3,3,4,3,4,3,3,4,2,4,2,3,3,3,3,4,3,"yes","no",2.2,2.2,2.8,3.2,"Very high huaman development",0.939
"Australia",37.5,"Male","Yes","ma","full-time",150000,NA,14,0,"Village","Divorced",1,1,2,5,3,3,3,3,2,5,4,4,3,5,4,3,3,4,3,3,4,5,5,3,5,4,3,2,4,3,4,4,3,4,4,4,3,5,3,3,5,4,3,3,3,3,2,"yes","yes",3.2,3.66666666666667,3.75,2.8,"Very high huaman development",0.939
"Australia",45,"Male","No","ltuni","full-time",67500,NA,0,0,"Village","Married",0,0,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,2,3,3,2,2,3,2,2,2,2,1,4,2,1,3,3,3,3,2,3,2,4,5,5,5,5,"yes","no",1.6,1.53333333333333,2.4,4.8,"Very high huaman development",0.939
"Australia",32.5,"Female","Yes","dip","part-time",45000,NA,10,0,"Large Town","Married",2,1,4,4,4,3,3,4,3,5,4,3,2,5,3,4,4,4,4,4,3,3,3,4,5,4,5,3,2,4,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,"yes","yes",3.6,3.66666666666667,3.7,2.8,"Very high huaman development",0.939
"Australia",24,"Female","No","deg","full-time",45000,NA,3,0,"Small Town","Single",0,0,3,4,4,4,4,1,2,4,3,3,2,4,2,1,2,3,2,5,1,2,3,4,3,2,5,2,3,4,4,4,4,4,1,4,2,5,4,3,4,4,2,2,2,2,2,"yes","yes",3.8,2.46666666666667,3.45,2,"Very high huaman development",0.939
"Australia",22,"Female","No","ltuni","part-time",10000,NA,1,0,"Small Town","Married",0,0,5,5,5,4,4,4,2,3,3,4,1,5,5,5,5,5,3,5,5,5,5,5,3,5,5,3,5,4,5,2,5,5,2,4,5,5,5,5,5,4,4,4,4,3,1,"yes","yes",4.6,4,4.35,3.2,"Very high huaman development",0.939
"Australia",37.5,"Female","Yes","lthigh","part-time",35000,NA,3,0,"Small Town","Married",2,2,3,4,4,3,3,2,1,1,1,3,5,1,2,2,3,3,1,2,1,3,3,1,1,1,5,1,3,2,3,1,1,3,1,2,3,4,3,3,4,2,4,4,4,4,2,"yes","no",3.4,2.06666666666667,2.35,3.6,"Very high huaman development",0.939
"Australia",37.5,"Male","Yes","ltuni","full-time",NA,NA,12,0,"Small Town","Separated",0,1,4,3,3,3,3,4,3,3,2,3,3,4,3,2,2,4,3,3,2,4,3,3,4,2,3,4,3,3,4,3,4,4,3,3,3,4,4,3,3,4,3,3,3,3,2,"yes","yes",3.2,3,3.35,2.8,"Very high huaman development",0.939
"Australia",22,"Female","No","deg","full-time",35000,NA,0,6,"Village","Single",0,0,4,2,4,3,3,1,2,2,4,3,4,3,4,3,5,2,3,3,2,2,3,3,2,3,2,2,3,3,3,3,4,3,1,2,4,3,4,4,3,3,4,4,4,4,3,"yes","yes",3.2,2.86666666666667,2.9,3.8,"Very high huaman development",0.939
"Austria",37.5,"Female","No","ltuni","part-time",15000,NA,10,0,"Village","Married",0,0,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,"yes","yes",4.2,4.2,4.3,1.8,"Very high huaman development",0.893
"Austria",55,"Female","No","ltuni","full-time",35000,"language trainer",14,0,"Large Town","Married",0,0,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,"yes","yes",4.4,3.13333333333333,3.75,3.4,"Very high huaman development",0.893
"Austria",32.5,"Male","No","deg","part-time",35000,"Editor",0,2,"Medium-Sized","Married",0,0,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,"yes","yes",3.6,2.73333333333333,3.25,2.6,"Very high huaman development",0.893
"Bahamas",55,"Female","No","ma","full-time",67500,"manager",2,0,"Medium-Sized","Single",0,0,4,4,3,3,3,4,2,3,3,3,3,3,4,3,3,2,2,3,3,4,4,4,4,3,3,4,4,3,4,2,4,4,3,4,3,4,4,4,3,4,2,3,2,2,1,"yes","yes",3.4,3,3.6,2,"High huaman development",0.792
"Barbados",23,"Female","No","deg","student",NA,NA,3,0,"Small Town","Single",0,0,1,3,2,1,1,1,2,1,1,1,3,1,5,1,1,1,3,1,4,1,3,1,1,1,1,1,1,5,1,3,2,1,2,3,2,1,1,2,4,2,1,3,3,1,2,"no","no",1.6,1.8,1.9,2,"High huaman development",0.795
"Belgium",22,"Female","Yes","high","part-time",25000,"manager",5,3,"Small Town","Divorced",3,2,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,3,4,4,"no","yes",5,3.13333333333333,3,4.2,"Very high huaman development",0.896
"Belgium",22,"Female","No","deg","part-time",67500,NA,2,3,"Small Town","Single",0,0,3,3,2,2,3,3,4,2,3,3,3,3,2,3,2,4,4,5,3,4,3,2,3,1,4,3,3,3,3,3,3,3,3,2,2,2,3,3,4,2,3,4,3,3,3,"yes","",2.6,3.2,2.75,3.2,"Very high huaman development",0.896
"Belgium",28,"Female","Yes","ma","student",NA,NA,4,0,"Village","Married",2,0,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,2,2,2,3,1,"yes","yes",5,4.6,4.5,2,"Very high huaman development",0.896
"Belgium",45,"Male","No","ma","unemployed",55000,NA,3,0,"Large-City","Divorced",0,0,4,3,2,2,2,3,2,3,3,4,4,4,3,3,2,2,2,4,2,4,4,4,3,5,4,2,4,4,4,4,3,4,3,3,4,4,3,5,4,4,1,1,1,1,1,"yes","no",2.6,3,3.75,1,"Very high huaman development",0.896
"Belgium",55,"Female","Yes","deg","full-time",87500,NA,17,5,"","Separated",0,2,4,3,3,2,3,1,3,3,4,4,4,4,5,3,3,3,4,3,4,4,4,4,3,1,3,4,3,2,4,4,4,4,2,3,4,3,3,3,4,3,3,2,2,2,1,"yes","yes",3,3.46666666666667,3.25,2,"Very high huaman development",0.896
"Belgium",45,"Male","Yes","ma","full-time",250000,NA,14,0,"Village","Married",0,2,4,4,4,2,1,1,1,4,2,1,1,2,2,1,2,5,2,5,1,4,4,5,3,1,4,4,4,4,2,1,4,4,1,1,2,2,1,3,3,2,3,5,3,5,3,"yes","no",3,2.26666666666667,2.75,3.8,"Very high huaman development",0.896
"Belgium",28,"Male","No","ma","student",15000,NA,1,0,"Small Town","Single",0,0,4,4,4,3,3,2,2,2,4,4,5,4,4,3,4,3,3,4,2,4,2,4,3,5,4,2,4,3,4,4,3,4,3,3,4,4,4,4,4,4,2,3,3,3,2,"yes","yes",3.6,3.33333333333333,3.6,2.6,"Very high huaman development",0.896
"Belgium",55,"Male","Yes","ma","full-time",15000,NA,NA,0,"Village","Separated",1,0,2,3,3,3,3,4,4,5,3,3,3,3,5,4,4,4,4,3,4,5,5,2,5,4,4,3,4,2,5,4,4,4,3,4,5,2,3,4,5,4,2,2,3,3,1,"yes","yes",2.8,3.86666666666667,3.8,2.2,"Very high huaman development",0.896
